"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2520965,"February 8, 2023",Tennessee,Memphis,"4200 block of Cochese Ave",0,1,N/A
2521177,"February 8, 2023",Tennessee,Hendersonville,"100 block of Cole Ct",1,0,N/A
2521231,"February 8, 2023",Tennessee,Memphis,"314 Fields Ave",1,0,N/A
2520158,"February 7, 2023",Tennessee,Memphis,"1600 block of Nelson Ave",0,1,N/A
2520969,"February 7, 2023",Tennessee,Memphis,"5100 block of Windham Rd",0,1,N/A
2520155,"February 7, 2023",Tennessee,Memphis,"3100 block of Homewood Dr",0,2,N/A
2520266,"February 7, 2023",Tennessee,Memphis,"Clearbrook St and Leven Rd",1,0,N/A
2519645,"February 6, 2023",Tennessee,Memphis,"3100 block of Chelsea Ave",0,1,N/A
2519402,"February 6, 2023",Tennessee,Chattanooga,"4900 14th Ave",0,1,N/A
2519254,"February 6, 2023",Tennessee,Memphis,"Staten Ave and N Hollywood St",1,0,N/A
2518823,"February 5, 2023",Tennessee,Memphis,"I-240 and S Perkins Rd",0,1,N/A
2518826,"February 5, 2023",Tennessee,Memphis,"4537 Mill Stream Dr",1,0,N/A
2518857,"February 5, 2023",Tennessee,Nashville,"80 block of Lafayette St",0,1,N/A
2518836,"February 5, 2023",Tennessee,Chattanooga,"4300 block of Dorris Ave",0,1,N/A
2517704,"February 4, 2023",Tennessee,Memphis,"1400 block of Preston St",1,0,N/A
2518833,"February 4, 2023",Tennessee,Memphis,"3700 block Maple Leaf Cove",0,1,N/A
2517743,"February 4, 2023",Tennessee,"La Follette (Lafollette)","Little White Oak Rd",0,1,N/A
2518829,"February 4, 2023",Tennessee,Memphis,"3500 block of Kruger Rd",1,0,N/A
2517392,"February 3, 2023",Tennessee,Lebanon,"1213 Leeville Pike",0,0,N/A
2517857,"February 3, 2023",Tennessee,Nashville,"1500 block of Hampton St",0,1,N/A
2519409,"February 3, 2023",Tennessee,Gatlinburg,"Watson Dr",0,1,N/A
2517263,"February 3, 2023",Tennessee,Nashville,"1400 block of 11th Ave S",0,1,N/A
2517181,"February 3, 2023",Tennessee,Memphis,"2468 Elvis Presley Blvd",0,2,N/A
2517274,"February 2, 2023",Tennessee,Sweetwater,"Raby Rd",0,1,N/A
2516759,"February 2, 2023",Tennessee,Clarksville,"Peachers Mill Rd and 101st Airborne Division Pkwy",0,1,N/A
2516702,"February 2, 2023",Tennessee,Memphis,"5094 Poplar Ave",1,1,N/A
2516113,"February 1, 2023",Tennessee,Sweetwater,"2000 block of Hiwassee Rd",0,1,N/A
2516747,"February 1, 2023",Tennessee,Memphis,"4600 block of Chancellor Cove",1,0,N/A
2516122,"February 1, 2023",Tennessee,Chattanooga,"4310 6th Ave",1,0,N/A
2516260,"February 1, 2023",Tennessee,Murfreesboro,"2900 block of Pritchett Dr",1,0,N/A
2515540,"January 31, 2023",Tennessee,Nashville,"3000 block of Crowe Dr",1,1,N/A
2514519,"January 30, 2023",Tennessee,Ooltewah,"6405 Ooltewah-Georgetown Rd",0,2,N/A
2515254,"January 30, 2023",Tennessee,Nashville,"Trimble Rd and Esteswood Dr",0,1,N/A
2515553,"January 30, 2023",Tennessee,Knoxville,"350 Amberleigh Bluff Way",0,1,N/A
2513573,"January 29, 2023",Tennessee,Memphis,"3351 Denver St",0,1,N/A
2514467,"January 29, 2023",Tennessee,Dyersburg,"3400 block of Beaver Rd",1,0,N/A
2514473,"January 29, 2023",Tennessee,Nashville,"900 block of Buchanan St",1,0,N/A
2513281,"January 28, 2023",Tennessee,Memphis,"Beale St",1,0,N/A
2513253,"January 28, 2023",Tennessee,Clarksville,"1504 Fort Cambell Blvd",1,2,N/A
2514707,"January 28, 2023",Tennessee,Covington,"Sanford Rd",0,1,N/A
2516163,"January 27, 2023",Tennessee,Sevierville,"3000 block of Camp Smoky Ln",1,0,N/A
2512854,"January 27, 2023",Tennessee,Memphis,"Macon Rd and Berclair Rd",0,1,N/A
2512771,"January 27, 2023",Tennessee,Nashville,"182 Lafayette St",1,0,N/A
2514493,"January 27, 2023",Tennessee,Cookeville,"E Whitehall Rd",0,1,N/A
2512800,"January 27, 2023",Tennessee,Memphis,"3700 block of Maple Leaf Cove",0,1,N/A
2514517,"January 26, 2023",Tennessee,Chattanooga,"605 Merriam St",1,0,N/A
2511570,"January 25, 2023",Tennessee,Memphis,"2300 block of Frayser Blvd",0,1,N/A
2510551,"January 24, 2023",Tennessee,Memphis,"5500 block of Apple Blossom Dr",1,0,N/A
2511425,"January 24, 2023",Tennessee,Jackson,"112 Rhone St",1,0,N/A
2510489,"January 24, 2023",Tennessee,Memphis,"7500 block of Burnstown Ln",0,1,N/A
2511417,"January 24, 2023",Tennessee,"South Pittsburg","400 block of Dixie Ave",2,0,N/A
2509646,"January 23, 2023",Tennessee,Nashville,"Haynes Park Dr and Kings Ln",0,0,N/A
2509892,"January 23, 2023",Tennessee,"Johnson City","200 block of Furnace Rd",0,1,N/A
2509938,"January 23, 2023",Tennessee,Memphis,"Winchester Rd and Clarke Rd",0,1,N/A
2509556,"January 23, 2023",Tennessee,Nashville,"1500 block of Luton St",0,1,N/A
2509861,"January 22, 2023",Tennessee,Memphis,"2903 S Perkins Rd",1,0,N/A
2509745,"January 22, 2023",Tennessee,Jackson,"Idlewild St",0,2,N/A
2509035,"January 22, 2023",Tennessee,Memphis,"100 block of Firestone Ave",0,1,N/A
2509535,"January 22, 2023",Tennessee,Memphis,"7219 Appling Farms Pkwy",0,1,N/A
2509154,"January 22, 2023",Tennessee,Knoxville,"2800 block of London Cir",0,1,N/A
2509023,"January 22, 2023",Tennessee,Memphis,"3200 block of Austin Peay Hwy",1,0,N/A
2512258,"January 21, 2023",Tennessee,Memphis,N/A,1,1,N/A
2508997,"January 21, 2023",Tennessee,Chattanooga,"4900 block of TN-58",1,0,N/A
2509027,"January 21, 2023",Tennessee,Memphis,"100 block of Simpson Ave",1,0,N/A
2507518,"January 21, 2023",Tennessee,Nashville,"150 Dellway Villa Rd",0,1,N/A
2507444,"January 20, 2023",Tennessee,Mcminnville,"Lance St",1,0,N/A
2507071,"January 20, 2023",Tennessee,Murfreesboro,"I-24 and I-840",0,1,N/A
2506021,"January 19, 2023",Tennessee,Murfreesboro,"2435 Cason Ln",3,0,N/A
2506014,"January 19, 2023",Tennessee,Collierville,"Starlight Dr",1,0,N/A
2505322,"January 18, 2023",Tennessee,Nashville,"1000 block of Thompson Pl",0,1,N/A
2506249,"January 18, 2023",Tennessee,Blountville,"Deck Ln and TN-75",2,0,N/A
2506074,"January 18, 2023",Tennessee,Cleveland,"3635 Georgetown Rd NW",0,0,N/A
2505582,"January 18, 2023",Tennessee,Nashville,"110 Gallatin Ave",0,0,N/A
2505578,"January 18, 2023",Tennessee,"Whites Creek","7277 Old Hickory Blvd",0,0,N/A
2506080,"January 18, 2023",Tennessee,Talbott,"900 block of Ingram Rd",1,0,N/A
2505669,"January 18, 2023",Tennessee,Greeneville,"200 block of Ash Meadow Dr",0,1,N/A
2504698,"January 17, 2023",Tennessee,Knoxville,"1200 block of Bradshaw Garden Rd",1,0,N/A
2504477,"January 17, 2023",Tennessee,Memphis,"5800 block of Mt Moriah Rd",1,1,N/A
2504340,"January 17, 2023",Tennessee,Memphis,"2800 block of Peres Ave",0,1,N/A
2505665,"January 17, 2023",Tennessee,Memphis,"3076 Kirby Pkwy",1,0,N/A
2503935,"January 16, 2023",Tennessee,Nashville,"26th Ave N and Salem Mason Dr",2,0,N/A
2503747,"January 15, 2023",Tennessee,Memphis,"5267 Knight Arnold Rd",0,1,N/A
2503704,"January 15, 2023",Tennessee,Jackson,"800 block of Old Hickory Blvd",1,1,N/A
2502839,"January 15, 2023",Tennessee,Cordova,"8546 Prestine Loop",1,1,N/A
2502399,"January 14, 2023",Tennessee,Nashville,"1500 block of Bell Rd",1,0,N/A
2503567,"January 14, 2023",Tennessee,Memphis,"3000 block of Breezy Shore Cove",1,0,N/A
2502850,"January 14, 2023",Tennessee,Nashville,"900 block of Cannon St",1,0,N/A
2502393,"January 14, 2023",Tennessee,Memphis,"Mallory Ave and Titus Rd",2,0,N/A
2503865,"January 14, 2023",Tennessee,Nashville,"Tusculum Rd and Nolensville Pike",0,1,N/A
2505544,"January 13, 2023",Tennessee,Nashville,"N 6th St",0,1,N/A
2501878,"January 13, 2023",Tennessee,Memphis,"Park Ave",0,2,N/A
2500412,"January 11, 2023",Tennessee,Madison,"598 E Old Hickory Blvd",1,0,N/A
2499631,"January 10, 2023",Tennessee,Memphis,"400 block of Carpenter St",0,1,N/A
2500487,"January 10, 2023",Tennessee,Hermitage,"Thistle Ln",0,1,N/A
2499153,"January 9, 2023",Tennessee,Memphis,"1000 block of Greenlaw Ave",0,1,N/A
2499090,"January 9, 2023",Tennessee,Brownsville,"100 block of Prairie Crk",0,1,N/A
2499693,"January 9, 2023",Tennessee,Kingsport,"1100 Robertson St",0,1,N/A
2500420,"January 8, 2023",Tennessee,Memphis,"1400 block of Gold Ave",1,0,N/A
2498492,"January 8, 2023",Tennessee,Nashville,"738 Douglas Ave",1,2,N/A
2498502,"January 7, 2023",Tennessee,Madison,"1000 block of Gibson Dr",0,1,N/A
2497575,"January 7, 2023",Tennessee,Memphis,"800 block of E Raines Rd",0,1,N/A
2497668,"January 7, 2023",Tennessee,Chattanooga,"3300 block of Hughes Ave",0,2,N/A
2497588,"January 7, 2023",Tennessee,Nashville,"4098 Nolensville Pike",1,0,N/A
2498507,"January 7, 2023",Tennessee,Memphis,"1700 block of Carlyle Ave",1,0,N/A
2498518,"January 7, 2023",Tennessee,Memphis,"1400 block of Patton St",0,1,N/A
2498513,"January 7, 2023",Tennessee,Memphis,"4300 block of Atwood Ave",1,1,N/A
2497559,"January 7, 2023",Tennessee,Memphis,"3700 block of Ridgemont Ave",1,0,N/A
2498956,"January 7, 2023",Tennessee,Memphis,"Peabody Pl and S 2nd St",0,2,N/A
2498497,"January 7, 2023",Tennessee,Nashville,"101 University Ct",1,0,N/A
2496287,"January 5, 2023",Tennessee,Milan,"2106 Forrest St",2,0,N/A
2496225,"January 5, 2023",Tennessee,Nashville,"West End Ave and 16th Ave N",0,1,N/A
2497039,"January 5, 2023",Tennessee,Memphis,"Mitchell Rd and Weaver Rd",1,1,N/A
2496268,"January 5, 2023",Tennessee,Hermitage,"128 Summit Run Pl",1,0,N/A
2496222,"January 5, 2023",Tennessee,Nashville,"316 Hickory Trace Dr",1,0,N/A
2495899,"January 4, 2023",Tennessee,Nashville,"717 25th Ave N",0,1,N/A
2495757,"January 4, 2023",Tennessee,Madison,"525 N Dupont Ave",1,0,N/A
2495791,"January 4, 2023",Tennessee,Nashville,"1601 Holly St",0,1,N/A
2495642,"January 3, 2023",Tennessee,"Johnson City","1927 Lone Oak Rd",1,0,N/A
2495350,"January 3, 2023",Tennessee,Memphis,"Faxon Ave",0,1,N/A
2494782,"January 3, 2023",Tennessee,Memphis,"1500 block of Short St",1,0,N/A
2495378,"January 3, 2023",Tennessee,Memphis,"1145 Frayser Blvd",1,0,N/A
2493728,"January 2, 2023",Tennessee,Kingsport,"1200 block of W Sullivan St",1,0,N/A
2493347,"January 2, 2023",Tennessee,Knoxville,"4956 Clinton Hwy",0,3,N/A
2493428,"January 2, 2023",Tennessee,Nashville,"315 4th Ave N",2,0,N/A
2493456,"January 2, 2023",Tennessee,Memphis,"Getwell Rd and New Willow Rd",0,1,N/A
2493470,"January 2, 2023",Tennessee,Memphis,"5400 block of Oak Bark Dr",0,1,N/A
2494328,"January 2, 2023",Tennessee,Memphis,"3500 block of Devon Dr",1,0,N/A
2494344,"January 2, 2023",Tennessee,Nashville,"2200 block of 15th Ave N",1,0,N/A
2494335,"January 2, 2023",Tennessee,Nashville,"1000 Amberwood Cir",1,0,N/A
2492620,"January 1, 2023",Tennessee,Memphis,"5000 block of Harvest Knoll Ln",0,2,N/A
2493556,"January 1, 2023",Tennessee,"Johnson City","1109 University Pkwy",1,0,N/A
2496366,"January 1, 2023",Tennessee,Nashville,N/A,0,1,N/A
2494358,"January 1, 2023",Tennessee,Jackson,"Fair Acres Cove",1,0,N/A
2492794,"January 1, 2023",Tennessee,Memphis,"2900 block of Airways Blvd",0,1,N/A
2492633,"January 1, 2023",Tennessee,Nashville,"1000 block of Wedgewood Ave",0,1,N/A
2492627,"January 1, 2023",Tennessee,Memphis,"6135 Mt Moriah Rd",0,3,N/A
2493494,"January 1, 2023",Tennessee,"Ashland City","Old Clarksville Pike and Randy Rd",0,1,N/A
2492598,"December 31, 2022",Tennessee,Chattanooga,"4600 block of Highland Ave",1,0,N/A
2491024,"December 30, 2022",Tennessee,Memphis,"1900 block of Edward Cove",0,1,N/A
2491054,"December 30, 2022",Tennessee,Memphis,"E Brooks Rd",1,3,N/A
2491019,"December 30, 2022",Tennessee,Memphis,N/A,0,1,N/A
2492094,"December 30, 2022",Tennessee,Knoxville,"12564 Kingston Pike",0,3,N/A
2490677,"December 29, 2022",Tennessee,Cleveland,"Michigan Ave",1,0,N/A
2490277,"December 29, 2022",Tennessee,Memphis,"1000 block of N Watkins St",1,0,N/A
2491204,"December 29, 2022",Tennessee,Jackson,"620 Skyline Dr",1,0,N/A
2497018,"December 29, 2022",Tennessee,Ripley,"Eastland Ave and Gay St",1,1,N/A
2490279,"December 29, 2022",Tennessee,Memphis,"1441 Dellwood Ave",0,1,N/A
2490286,"December 29, 2022",Tennessee,Memphis,"4100 block of James Rd",0,1,N/A
2490320,"December 29, 2022",Tennessee,Chattanooga,"100 block of E M L King Blvd",1,1,N/A
2490548,"December 28, 2022",Tennessee,Nashville,"Claiborne St and Lafayette St",0,2,N/A
2490348,"December 28, 2022",Tennessee,"New Tazewell","400 block of Doe Ct",1,0,N/A
2489766,"December 27, 2022",Tennessee,"Johnson City","Freemond Dr",0,1,N/A
2488900,"December 27, 2022",Tennessee,Memphis,"6450 Poplar Ave",0,2,N/A
2489948,"December 27, 2022",Tennessee,Humboldt,"N 17th Ave",1,0,N/A
2488544,"December 26, 2022",Tennessee,Memphis,"2400 block of Jackson Ave",0,1,N/A
2489058,"December 26, 2022",Tennessee,Nashville,"571 Charles E Davis Blvd",0,2,N/A
2489039,"December 26, 2022",Tennessee,Memphis,"5200 block of S 3rd St",1,0,N/A
2488534,"December 26, 2022",Tennessee,Nashville,"1400 block of County Hospital Rd",1,0,N/A
2489032,"December 26, 2022",Tennessee,Memphis,"Hubert Ave and University St",0,1,N/A
2488145,"December 25, 2022",Tennessee,Nashville,"I-24 and Shelby Ave",1,0,N/A
2488407,"December 25, 2022",Tennessee,Covington,"510 US-51",1,0,N/A
2495345,"December 25, 2022",Tennessee,Memphis,"333 Adams Ave",1,0,N/A
2487667,"December 24, 2022",Tennessee,Memphis,"4000 Raleigh Millington Rd",0,2,N/A
2487672,"December 23, 2022",Tennessee,Nashville,"6337 Charlotte Pike",0,2,N/A
2486666,"December 22, 2022",Tennessee,Memphis,"2700 block of McMurray St",2,0,N/A
2486812,"December 22, 2022",Tennessee,Memphis,"Knight Arnold Rd and Lamar Ave",0,1,N/A
2486809,"December 22, 2022",Tennessee,Memphis,"2000 block of Blue Crane Ln",2,0,N/A
2486713,"December 22, 2022",Tennessee,Knoxville,"7340 Norris Fwy",1,0,N/A
2486791,"December 22, 2022",Tennessee,"Thorn Hill","Indian Creed Rd",1,0,N/A
2486816,"December 22, 2022",Tennessee,Memphis,"3900 block of Piermont St",1,0,N/A
2486843,"December 22, 2022",Tennessee,Nashville,"Belle Arbor Dr",0,1,N/A
2486669,"December 21, 2022",Tennessee,Nashville,"4000 block of Fairview Dr",1,0,N/A
2486674,"December 21, 2022",Tennessee,Nashville,"3901 Granny White Pike",0,0,N/A
2486172,"December 21, 2022",Tennessee,Memphis,"600 block of Wells Ave",2,0,N/A
2486163,"December 21, 2022",Tennessee,Memphis,"I-40 and N Hollywood St",0,1,N/A
2486196,"December 20, 2022",Tennessee,Nashville,"600 block of Sylvan St",1,0,N/A
2485223,"December 20, 2022",Tennessee,"Strawberry Plains","Daybreak Way",0,1,N/A
2485354,"December 20, 2022",Tennessee,Knoxville,"440 block of Taylor Homes Rd",1,0,N/A
2485148,"December 20, 2022",Tennessee,Memphis,"1200 block of Victor Dr",0,1,N/A
2485229,"December 20, 2022",Tennessee,Sevierville,"875 Jersey Dr",1,0,N/A
2485125,"December 20, 2022",Tennessee,Memphis,"4845 Bontura Dr",0,1,N/A
2485146,"December 20, 2022",Tennessee,Memphis,"900 block of Leacrest Ave",1,0,N/A
2485309,"December 19, 2022",Tennessee,Nashville,"Sycamore Rd",0,1,N/A
2483614,"December 18, 2022",Tennessee,Memphis,"4700 block of Summerlane Ave",0,1,N/A
2485375,"December 17, 2022",Tennessee,Dyersburg,"1011 E Tickle St",1,0,N/A
2483377,"December 17, 2022",Tennessee,Memphis,"E Raines Rd and Kirby Pkwy",2,0,N/A
2483384,"December 17, 2022",Tennessee,Memphis,"Ethel St",0,1,N/A
2483382,"December 17, 2022",Tennessee,Memphis,"Sharpe Ave",0,1,N/A
2482538,"December 16, 2022",Tennessee,Nashville,"3708 Gallatin Pike",0,1,N/A
2483359,"December 16, 2022",Tennessee,Memphis,"4700 block of Cochese Rd",1,0,N/A
2482711,"December 16, 2022",Tennessee,Memphis,"831 Springdale Run Dr",0,5,N/A
2482511,"December 15, 2022",Tennessee,Memphis,"Eastview Dr and Walnut Grove Rd",0,1,N/A
2480912,"December 14, 2022",Tennessee,Memphis,"1100 block of Brownlee Rd",0,1,N/A
2480970,"December 14, 2022",Tennessee,Memphis,"2700 block of Range Line Rd",1,0,N/A
2480986,"December 14, 2022",Tennessee,Clarksville,"Chapel St",0,1,N/A
2481124,"December 13, 2022",Tennessee,Memphis,"Pendleton St",1,0,N/A
2480359,"December 13, 2022",Tennessee,Memphis,"1500 block of S Orleans St",0,1,N/A
2480531,"December 13, 2022",Tennessee,Antioch,"Shinmen Ct",0,1,N/A
2479603,"December 12, 2022",Tennessee,Memphis,"5300 block of Blue Ridge Pkwy",0,1,N/A
2479599,"December 12, 2022",Tennessee,Memphis,"1000 block of S Wellington St",0,1,N/A
2479595,"December 12, 2022",Tennessee,Memphis,"4100 block of James Rd",0,1,N/A
2479591,"December 12, 2022",Tennessee,Memphis,"1300 block of Nicholas St",0,1,N/A
2479589,"December 12, 2022",Tennessee,Memphis,"4100 block of Leacrest Cove",0,1,N/A
2480349,"December 12, 2022",Tennessee,Memphis,"Parkhurst Ct",1,0,N/A
2481214,"December 12, 2022",Tennessee,Memphis,"800 block of Pearce St",0,1,N/A
2479544,"December 12, 2022",Tennessee,Chattanooga,"1020 N Moore Rd",0,0,N/A
2479363,"December 12, 2022",Tennessee,Memphis,"687 Walnut St",1,1,N/A
2479392,"December 12, 2022",Tennessee,Clarksville,"Cinderella Ln",0,1,N/A
2479485,"December 12, 2022",Tennessee,"Oliver Springs","100 block of Midway Dr",1,0,N/A
2480138,"December 12, 2022",Tennessee,Memphis,"Barfield Rd and N Perkins Rd",0,2,N/A
2480123,"December 12, 2022",Tennessee,Chattanooga,"2800 block of 4th Ave",0,2,N/A
2479480,"December 12, 2022",Tennessee,Chattanooga,"2300 block of 18th St Pl",0,1,N/A
2479073,"December 11, 2022",Tennessee,Nashville,"1200 block of Edgehill Ave",1,0,N/A
2481208,"December 11, 2022",Tennessee,Blaine,"1100 block of Richland Rd",1,0,N/A
2479057,"December 11, 2022",Tennessee,Memphis,"700 block of Baltimore St",0,1,N/A
2479063,"December 10, 2022",Tennessee,Memphis,"1800 block of Dessa Dr",1,1,N/A
2480054,"December 10, 2022",Tennessee,"Clay (county)",N/A,1,0,N/A
2479060,"December 10, 2022",Tennessee,Memphis,"3600 block of Wilshire Rd",0,1,N/A
2477760,"December 9, 2022",Tennessee,Memphis,"4900 block of Cimmaron Dr",1,0,N/A
2478439,"December 9, 2022",Tennessee,Kingsport,"1000 Stonegate Rd",0,1,N/A
2480110,"December 9, 2022",Tennessee,Arlington,"11150 US-70",1,0,N/A
2477769,"December 8, 2022",Tennessee,Nashville,"1616 Bell Rd",0,1,N/A
2477049,"December 7, 2022",Tennessee,Knoxville,"2700 block of Lay Ave",1,1,N/A
2477128,"December 7, 2022",Tennessee,Memphis,"4300 block of Bolen Huse Rd",1,0,N/A
2476384,"December 7, 2022",Tennessee,"La Follette","Linden Ave",0,1,N/A
2476280,"December 7, 2022",Tennessee,Memphis,"3875 Airways Blvd",0,1,N/A
2475769,"December 6, 2022",Tennessee,Nashville,"5000 block of Overton Rd",0,1,N/A
2476522,"December 6, 2022",Tennessee,Greeneville,"15 Bradley Ave",1,0,N/A
2475929,"December 6, 2022",Tennessee,Knoxville,"7800 block of Westland Dr",0,1,N/A
2476264,"December 6, 2022",Tennessee,Millington,"8050 West St",0,0,N/A
2475551,"December 6, 2022",Tennessee,Memphis,"1000 block of Kney St",0,1,N/A
2475544,"December 5, 2022",Tennessee,Memphis,"I-240 and Jackson Ave",1,0,N/A
2481113,"December 5, 2022",Tennessee,Memphis,"715 S Lauderdale St",0,0,N/A
2474684,"December 5, 2022",Tennessee,Memphis,"1245 N Hollywood St",0,1,N/A
2474627,"December 5, 2022",Tennessee,Memphis,"200 block of Gaston Ave",1,0,N/A
2476347,"December 5, 2022",Tennessee,Blountville,N/A,1,0,N/A
2475082,"December 5, 2022",Tennessee,Memphis,"4161 Winchester Rd",1,1,N/A
2474827,"December 5, 2022",Tennessee,Memphis,"817 Brownlee Rd",0,1,N/A
2474687,"December 5, 2022",Tennessee,Memphis,"2400 block of Eden Park Dr",1,0,N/A
2475098,"December 5, 2022",Tennessee,Memphis,"1221 Tunica St",1,0,N/A
2474212,"December 4, 2022",Tennessee,Clarksville,"700 N Riverside Dr",1,0,N/A
2474723,"December 4, 2022",Tennessee,Lewisburg,"1000 Cheryl Dr",1,0,N/A
2474226,"December 4, 2022",Tennessee,Memphis,"Getwell Rd and Cochese Rd",0,2,N/A
2474223,"December 4, 2022",Tennessee,Elizabethton,"100 block of Countryside Dr",1,0,N/A
2474170,"December 4, 2022",Tennessee,Memphis,I-55,0,1,N/A
2474220,"December 3, 2022",Tennessee,"Johnson City","700 block of Cash Hollow Rd",1,0,N/A
2473815,"December 3, 2022",Tennessee,Memphis,"1000 block of Chambliss Rd",0,2,N/A
2473619,"December 3, 2022",Tennessee,Memphis,"3707 Pershing Park Dr",1,0,N/A
2473110,"December 2, 2022",Tennessee,Jackson,"Alpine Cove and Rich St",0,1,N/A
2473820,"December 2, 2022",Tennessee,Adamsville,"341 Pickins Dr",1,0,N/A
2475530,"December 2, 2022",Tennessee,Memphis,"Gardenwood Dr",0,1,N/A
2476341,"December 1, 2022",Tennessee,"Cheatham (county)",N/A,0,1,N/A
2472164,"December 1, 2022",Tennessee,Memphis,"1908 S Lauderdale St",1,0,N/A
2472249,"December 1, 2022",Tennessee,Elizabethton,"Oakmont Dr and Milligan Hwy",1,0,N/A
2477780,"December 1, 2022",Tennessee,Turtletown,"122 Garden Walk Blvd",1,1,N/A
2473862,"December 1, 2022",Tennessee,Memphis,"639 E Shelby Dr",0,1,N/A
2495871,"December 1, 2022",Tennessee,Memphis,N/A,0,1,N/A
2471463,"November 30, 2022",Tennessee,Memphis,"Walnut St and Tate Ave",0,1,N/A
2471454,"November 30, 2022",Tennessee,Memphis,"4130 Kirby Pkwy",0,1,N/A
2471644,"November 30, 2022",Tennessee,Memphis,"4101 Macon Rd",0,1,N/A
2472001,"November 30, 2022",Tennessee,Clarksville,"McGraw St and Greenwood Ave",0,1,N/A
2471520,"November 30, 2022",Tennessee,Trenton,"Carnes Rd",1,1,N/A
2470960,"November 29, 2022",Tennessee,Memphis,"N Bellevue Blvd and Vollintine Ave",0,1,N/A
2470956,"November 29, 2022",Tennessee,Memphis,"5000 block of S 3rd St",0,1,N/A
2470780,"November 29, 2022",Tennessee,Kingsport,"1900 block of Idle Hour Rd",2,0,N/A
2470586,"November 29, 2022",Tennessee,Nashville,"400 Davidson Rd",0,0,N/A
2469722,"November 28, 2022",Tennessee,Memphis,"3100 block of Celt Cove",0,1,N/A
2469899,"November 28, 2022",Tennessee,Hermitage,"4890 Lebanon Pike",1,0,N/A
2469826,"November 28, 2022",Tennessee,Memphis,"N Germantown Pkwy and Trinity Rd",0,1,N/A
2470524,"November 28, 2022",Tennessee,Atoka,"Brittany Ln",1,1,N/A
2469409,"November 28, 2022",Tennessee,Nashville,"600 block of Benton Ave",0,1,N/A
2474824,"November 27, 2022",Tennessee,Kingsport,"100 block of Deadrick Dr",0,1,N/A
2469178,"November 27, 2022",Tennessee,Knoxville,"900 block of Graves St",2,0,N/A
2469412,"November 27, 2022",Tennessee,Memphis,"3081 Rainier St",1,0,N/A
2469401,"November 27, 2022",Tennessee,Jackson,"2196 Emporium Dr",0,1,N/A
2469404,"November 27, 2022",Tennessee,Clarksville,"Bradfield Dr",0,1,N/A
2480492,"November 27, 2022",Tennessee,Memphis,"2231 S 3rd St",0,1,N/A
2468569,"November 26, 2022",Tennessee,Nashville,"1900 S Hamilton Rd",0,2,N/A
2468222,"November 25, 2022",Tennessee,Jackson,"Old Hickory Blvd and Wallace Rd",0,1,N/A
2467985,"November 25, 2022",Tennessee,Knoxville,"1100 block of Delaware Ave",0,1,N/A
2468560,"November 25, 2022",Tennessee,Memphis,"3500 block of Hallbrook St",1,0,N/A
2468121,"November 25, 2022",Tennessee,Nashville,"208 Gatewood Ave",1,0,N/A
2467619,"November 24, 2022",Tennessee,Knoxville,"300 block of McConnell St",1,0,N/A
2467515,"November 24, 2022",Tennessee,Memphis,N/A,0,1,N/A
2467698,"November 24, 2022",Tennessee,Memphis,"N Dunlap St and North Parkway",0,1,N/A
2466928,"November 23, 2022",Tennessee,Jackson,"Old Humboldt Rd and Jeremiah Dr",0,1,N/A
2466473,"November 23, 2022",Tennessee,Memphis,"1000 Haynes St",0,1,N/A
2467512,"November 23, 2022",Tennessee,Memphis,"4000 block of Westmont Rd",0,2,N/A
2466680,"November 23, 2022",Tennessee,Knoxville,"2706 E 5th Ave",1,2,N/A
2466887,"November 23, 2022",Tennessee,Memphis,"1441 E Brooks Rd",0,1,N/A
2466843,"November 22, 2022",Tennessee,Summertown,"Swimming Hole Rd",1,0,N/A
2465505,"November 22, 2022",Tennessee,Memphis,"3330 Austin Peay Hwy",0,1,N/A
2466677,"November 22, 2022",Tennessee,"Knoxville (Farragut)","400 block of Wyndham Hall Ln",1,0,N/A
2466492,"November 22, 2022",Tennessee,Lebanon,"Sparta Pike and Eastover Rd",0,1,N/A
2464927,"November 21, 2022",Tennessee,Memphis,"2737 Curtis St",1,0,N/A
2464790,"November 21, 2022",Tennessee,Nashville,"1150 Hunters Ln",0,0,N/A
2464620,"November 21, 2022",Tennessee,Memphis,"2500 block of Peres Ave",0,1,N/A
2464986,"November 21, 2022",Tennessee,Memphis,"2900 block of Treemont Cove",0,1,N/A
2464635,"November 20, 2022",Tennessee,Winchester,"Freedom Ln",1,0,N/A
2464841,"November 20, 2022",Tennessee,Nashville,"100 block of N 7th St",0,1,N/A
2464627,"November 20, 2022",Tennessee,Nashville,"1800 block of Jefferson St",1,0,N/A
2464633,"November 19, 2022",Tennessee,Lawrenceburg,"2782 N Locust Ave",0,1,N/A
2463104,"November 19, 2022",Tennessee,Nashville,"370 Wallace Rd",1,0,N/A
2463875,"November 19, 2022",Tennessee,Memphis,"2810 Summit Arbors Cir",1,0,N/A
2463870,"November 19, 2022",Tennessee,Memphis,"S Main St",0,1,N/A
2462633,"November 18, 2022",Tennessee,Memphis,"2700 block of S Mendenhall Rd",0,1,N/A
2463030,"November 18, 2022",Tennessee,Springfield,"1212 Matthews St",0,2,N/A
2462522,"November 18, 2022",Tennessee,Nashville,"345 Dellway Villa Rd",1,0,N/A
